author_key,author_name,cover_edition_key,cover_i,ebook_access,edition_count,first_publish_year,has_fulltext,ia,ia_collection,key,language,public_scan_b,title,lending_edition_s,lending_identifier_s,series_key,series_name,series_position,subtitle,id_standard_ebooks,id_project_gutenberg,id_wikisource,id_librivox,genre
['OL24396A'],['Kenneth Oppel'],OL8458994M,761948.0,borrowable,25,1997.0,True,"['ailesdelanuit0000kenn', 'zilvervlerk0000oppe', 'silverwing0000oppe_d2y9', 'silverwing0000oppe', 'silverwing00oppe', 'silverwing00oppe_0']","['americana', 'delawarecountydistrictlibrary', 'inlibrary', 'internetarchivebooks', 'printdisabled', 'trent_university']",/works/OL19340W,"['eng', 'rus', 'fre', 'chi', 'spa', 'por']",False,Silverwing,OL40276399M,ailesdelanuit0000kenn,,,,,,,,,fantasy
['OL3115477A'],['Fantasy Flight'],OL8844651M,1968018.0,no_ebook,3,2005.0,False,,,/works/OL8976504W,['eng'],False,Midnight,,,,,,,,,,,fantasy
"['OL235327A', 'OL1432887A', 'OL262325A', 'OL2704738A', 'OL18928A', 'OL1197683A', 'OL24137A', 'OL507165A', 'OL28641A', 'OL34434A', 'OL253641A', 'OL1123495A', 'OL24562A', 'OL227499A', 'OL24072A', 'OL1684660A', 'OL29390A', 'OL26165A', 'OL402789A', 'OL501502A', 'OL274606A', 'OL765755A', 'OL23918A', 'OL200394A', 'OL24856A', 'OL4587302A', 'OL19610A', 'OL31353A', 'OL1604887A']","['Robert Silverberg', 'H. L. Gold', 'L. Sprague De Camp', 'C. L. Moore', 'Jorge Luis Borges', 'Anthony Boucher', 'Ray Bradbury', 'Shirley Jackson', 'Robert A. Heinlein', 'James Blish', 'Jack Vance', 'Margaret St. Clair', 'Theodore Sturgeon', 'Avram Davidson', 'Poul Anderson', 'Robert Bloch', 'Fritz Leiber', 'Peter S. Beagle', 'J. G. Ballard', 'R. A. Lafferty', 'Philip K. Dick', 'Clifford D. Simak', 'Tanith Lee', 'Harlan Ellison', 'Gene Wolfe', 'Roger Zelazny', 'Lucius Shepard', 'Ursula K. Le Guin', 'Ted Chiang']",OL8690528M,14411044.0,borrowable,4,1985.0,True,['fantasyhalloffam0000unse'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL1960531W,['eng'],False,The Fantasy Hall of Fame [30 stories],OL8690528M,fantasyhalloffam0000unse,,,,,,,,,fantasy
"['OL235327A', 'OL25161A', 'OL19981A', 'OL233594A', 'OL13662848A']","['Robert Silverberg', 'Orson Scott Card', 'Stephen King', 'Robert Jordan', 'Robert A. Silverberg']",OL9475348M,14479540.0,borrowable,25,1998.0,True,"['legendylegends0000unse', 'legendselevennew0000unse', 'legendsshortnove0000unse', 'legendsshortnove0000unse_k0e9', 'legendsshortnove0000unse_b6m5', 'legendsstoriesby00robe', 'lgendes0000robe', 'legends0000unse_w3p6']","['americana', 'americanuniversity-ol', 'cabi', 'cnusd-ol', 'delawarecountydistrictlibrary', 'inlibrary', 'internetarchivebooks', 'ithacacollege-ol', 'openlibrary-d-ol', 'printdisabled', 'unb-ol', 'universityofarizona-ol', 'universityofcoloradoboulder-ol', 'wilsoncollege-ol']",/works/OL257973W,"['rus', 'fre', 'eng']",False,Legends,OL38209036M,legendylegends0000unse,,,,,,,,,fantasy
"['OL562689A', 'OL240329A']","['Phyllis Kronhausen', 'Eberhard Kronhausen']",OL4910479M,6678835.0,borrowable,3,1970.0,True,"['eroticfantasiess00kron', 'eroticfantasiess0000kron']","['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL3419968W,['eng'],False,Erotic fantasies,OL4910479M,eroticfantasiess00kron,,,,,,,,,fantasy
['OL31353A'],['Ursula K. Le Guin'],OL4735049M,4437200.0,printdisabled,16,1979.0,True,['languageofnighte00legu'],"['americana', 'internetarchivebooks', 'printdisabled']",/works/OL59849W,['eng'],False,The language of the night,,,,,,essays on fantasy and science fiction,,,,,fantasy
"['OL21235A', 'OL1871079A', 'OL657502A', 'OL457863A', 'OL30541A']","['John Clute', 'John Grant', 'Michael Ashley', 'David G. Hartwell', 'Gary Westfahl']",OL18733383M,9325592.0,printdisabled,5,1997.0,True,['encyclopediaoffa00clutrich'],"['americana', 'gbell', 'internetarchivebooks', 'printdisabled']",/works/OL15160081W,['eng'],False,The Encyclopedia of fantasy,,,,,,,,,,,fantasy
['OL792485A'],['Sally Heywood'],OL10740140M,7396218.0,borrowable,4,1984.0,True,"['fantasylover0000heyw', 'fantasylover0000lane']","['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL4180824W,['eng'],False,Fantasy lover,OL18361057M,fantasylover0000heyw,,,,,,,,,fantasy
['OL1433780A'],['Ben Caldwell'],OL24249195M,6396537.0,borrowable,2,2005.0,True,['fantasycartoonin00cald'],"['americana', 'delawarecountydistrictlibrary', 'inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL5844308W,['eng'],False,Fantasy! cartooning,OL3421250M,fantasycartoonin00cald,,,,,,,,,fantasy
['OL397243A'],['Susan Cooper'],OL6782925M,1470226.0,borrowable,27,1999.0,True,"['isbn_9780756904241', 'kingofshadows00susa', 'kingofshadows00coop', 'kingofshadows0000coop', 'kingofshadows0000coop_w9w4', 'kingofshadows0000coop_u3s6', 'kingofshadowsala00susa']","['americana', 'delawarecountydistrictlibrary', 'inlibrary', 'internetarchivebooks', 'openlibrary-d-ol', 'printdisabled']",/works/OL894226W,"['ger', 'dan', 'eng']",False,King of Shadows,OL26027306M,isbn_9780756904241,,,,,,,,,fantasy
['OL19905A'],['Piers Anthony'],OL3487064M,4272904.0,printdisabled,15,1982.0,True,"['ogreogrexanthnov00pier', 'ogreogre00anth', 'ogreogre0000anth']","['americana', 'delawarecountydistrictlibrary', 'internetarchivebooks', 'printdisabled', 'spokanepubliclibrary-ol']",/works/OL80866W,['eng'],False,"Ogre, Ogre",,,,,,,,,,,fantasy
['OL25161A'],['Orson Scott Card'],,12009372.0,borrowable,4,1990.0,True,"['howtowritescienc0000card', 'howtowritescienc00card', 'howtowritescienc0000card_f8a8']","['dartmouthlibrary-ol', 'denverpubliclibrary-ol', 'inlibrary', 'internetarchivebooks', 'johnshopkins-ol', 'printdisabled', 'spokanepubliclibrary-ol', 'unb-ol', 'universityofarizona-ol', 'universityofcoloradoboulder-ol', 'uslprototype']",/works/OL49644W,['eng'],False,How to Write Science Fiction & Fantasy,OL49809370M,howtowritescienc0000card,,,,,,,,,fantasy
"['OL2703408A', 'OL7938741A']","['Elisabetta Dami', 'David Nel·lo']",OL25420126M,7245546.0,borrowable,9,2011.0,True,"['leroyaumedesrves0000stil', 'fantasiavii0000stil', 'geronimostiltonk0000elis', 'enchantedcharmss0000stil_i6f3']","['inlibrary', 'internetarchivebooks', 'openlibrary-d-ol', 'printdisabled']",/works/OL16798490W,"['spa', 'dut', 'eng']",False,Séptimo viaje al reino de la fantasía,OL42915176M,leroyaumedesrves0000stil,['OL327627L'],['The Kingdom of Fantasy'],['7'],,,,,,fantasy
['OL59362A'],['Nancy Friday'],OL13264438M,12650922.0,borrowable,25,1991.0,True,"['womenontophowrea00frid', 'womenontop0000frid', 'womenontop0000frid_d3k7', 'womenontop00nanc', 'mujeresarriba0000frid']","['bannedbooks', 'binghamton-ol', 'inlibrary', 'internetarchivebooks', 'openlibrary-d-ol', 'printdisabled', 'universityofcoloradoboulder-ol']",/works/OL733149W,"['eng', 'spa']",False,Women on Top,OL1551602M,womenontophowrea00frid,,,,,,,,,fantasy
['OL1385352A'],['Sandra Brown'],OL7421134M,221271.0,printdisabled,2,2001.0,True,['eroticinvitation0000phil'],"['internetarchivebooks', 'printdisabled']",/works/OL5682876W,['eng'],False,Erotic Invitation (Midnight Fantasies),,,,,,,,,,,fantasy
['OL1423305A'],['Sharon Kendrick'],,7247430.0,borrowable,1,1995.0,True,['passionatefantas0000kend'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL5808554W,,False,Passionate Fantasy,OL10240322M,passionatefantas0000kend,,,,,,,,,fantasy
['OL39938A'],['Walter S. Tevis'],OL60408M,209598.0,printdisabled,11,1979.0,True,"['mockingbird00tevi', 'mockingbird0000tevi_e1r7', 'mockingbird0000tevi']","['internetarchivebooks', 'printdisabled']",/works/OL83885W,['eng'],False,Mockingbird,,,,,,,,,,,fantasy
['OL3090759A'],['Rachel Elliot'],OL24940794M,6951932.0,borrowable,2,1991.0,True,['fantasyoflove00elli'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL16039363W,['eng'],False,Fantasy of Love,OL24940794M,fantasyoflove00elli,,,,,,,,,fantasy
['OL258725A'],['Julie S. Hasler'],OL418888M,454482.0,borrowable,3,1997.0,True,['juliehaslersfant0000hasl'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL2096593W,['eng'],False,Julie Hasler's Fantasy Cross Stitch,OL418888M,juliehaslersfant0000hasl,,,,,,,,,fantasy
"['OL27951A', 'OL20498A']","['Andre Norton', 'Mercedes Lackey']",OL7585004M,389913.0,borrowable,20,1991.0,True,"['elevenbane0000andr', 'elenbane0000andr', 'elvenbane00nort', 'elvenbane0000andr', 'bwb_O8-CPJ-412', 'bwb_T3-AOR-752', 'elvenbaneepichig00nort']","['americana', 'delawarecountydistrictlibrary', 'inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL473352W,['eng'],False,The Elvenbane,OL45892854M,elevenbane0000andr,,,,,,,,,fantasy
['OL3062087A'],['Violet Blue'],OL8738717M,824918.0,borrowable,1,2004.0,True,['taboo00viol'],"['inlibrary', 'internetarchivebooks', 'openlibrary-d-ol', 'printdisabled']",/works/OL8892679W,['eng'],False,Taboo,OL8738717M,taboo00viol,,,,,,,,,fantasy
['OL9109447A'],['Travis Baldree'],OL38237074M,13028635.0,no_ebook,19,2022.0,False,,,/works/OL27591348W,"['ger', 'eng', 'dut', 'spa']",False,Legends & Lattes,,,,,,,,,,,fantasy
['OL1385538A'],['Cheryl Holt'],OL9485602M,1170643.0,printdisabled,1,2007.0,True,['forbiddenfantasy00holt'],"['internetarchivebooks', 'openlibrary-d-ol', 'printdisabled']",/works/OL5684829W,['eng'],False,Forbidden Fantasy,,,,,,,,,,,fantasy
['OL1386012A'],['Lori Foster'],OL26344096M,8026982.0,printdisabled,4,2010.0,True,['unbelievablefant00lori'],"['internetarchivebooks', 'openlibrary-d-ol', 'printdisabled', 'stmaryscountylibrary']",/works/OL17746197W,['eng'],False,Unbelievable,,,,,,,,,,,fantasy
['OL538087A'],['Olaf Stapledon'],OL7878550M,379927.0,borrowable,44,1944.0,True,['siriuseklassscie0000stap'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL3290738W,"['spa', 'eng']",False,Sirius,OL30523900M,siriuseklassscie0000stap,,,,,,,,,fantasy
['OL34221A'],['Isaac Asimov'],OL791236M,9300819.0,borrowable,9,1996.0,True,"['magicfinalfantas00asim', 'magicfinalfantas0000asim', 'magicfinalfantas0000asim_y7s7']","['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL46382W,['eng'],False,Magic,OL791236M,magicfinalfantas00asim,,,,The Final Fantasy Collection,,,,,fantasy
['OL1385985A'],['Vicki Lewis Thompson'],OL3388439M,222086.0,printdisabled,3,2001.0,True,"['everywomansfanta00thom_0', 'everywomansfanta00thom']","['internetarchivebooks', 'printdisabled']",/works/OL5691298W,['eng'],False,Every woman's fantasy,,,,,,,,,,,fantasy
['OL2073368A'],['Edward L. Ferman'],,8259418.0,borrowable,20,1973.0,True,"['bestfromfantasya00ferm', 'bestfromfantasys00edwa_1']","['americana', 'inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL7212889W,['eng'],False,"The Best from Fantasy and Science Fiction (series, needs splitting)",OL7437142M,bestfromfantasya00ferm,,,,,,,,,fantasy
['OL2674261A'],['Tiffany White'],OL7422031M,8042273.0,borrowable,2,1991.0,True,['forbiddenfantasy00tiff'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL17760480W,['eng'],False,Forbidden fantasy,OL7422031M,forbiddenfantasy00tiff,,,,,,,,,fantasy
['OL92945A'],['John Peel'],OL7884323M,9320281.0,borrowable,2,1997.0,True,['bookofnames00peel'],"['americana', 'inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL7013292W,['eng'],False,Book of Names (Diadem,OL7884323M,bookofnames00peel,,,,"A Fantasy Mystery, No. 1)",,,,,fantasy
['OL7296452A'],['Cassie Alexander'],OL46494948M,13265439.0,no_ebook,7,2023.0,False,,,/works/OL29200370W,['eng'],False,Bend Her,,,,,,,,,,,fantasy
"['OL2453782A', 'OL758306A', 'OL26320A']","['Charles Dixon', 'Sean Deming', 'J.R.R. Tolkien']",OL8617158M,8406766.0,printdisabled,10,1990.0,True,['hobbitillustrate00dixo'],"['americanuniversity-ol', 'cnusd-ol', 'denverpubliclibrary-ol', 'internetarchivebooks', 'printdisabled', 'stmaryscountylibrary', 'tulsacc-ol', 'wilsoncollege-ol']",/works/OL219602W,"['eng', 'ita', 'spa']",False,The Hobbit,,,,,,,,,,,fantasy
['OL35239A'],['Boris Vallejo'],OL575813M,425671.0,borrowable,4,1985.0,True,['fantasyarttechni0000vall'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL65633W,['eng'],False,Fantasy art techniques,OL2530513M,fantasyarttechni0000vall,,,,,,,,,fantasy
['OL527406A'],['Wayne Douglas Barlowe'],OL966659M,43995.0,no_ebook,1,1996.0,False,,,/works/OL3236305W,['eng'],False,Barlowe's guide to fantasy,,,,,,,,,,,fantasy
['OL2703408A'],['Elisabetta Dami'],OL26194656M,7879043.0,borrowable,12,2011.0,True,"['leroyaumedelafan0000gero', 'dragonoffortune0000stil']","['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL17591401W,"['fre', 'ita', 'dut', 'eng']",False,Grande ritorno nel Regno della Fantasia 2,OL46850767M,leroyaumedelafan0000gero,,,,,,,,,fantasy
"['OL57437A', 'OL342699A']","['Douglas R. Hofstadter', 'Daniel C. Dennett']",OL7593520M,298658.0,printdisabled,23,1962.0,True,"['mindsifantasiesr0000unse_b4r5', 'mindsifantasiesr0000unse', 'mindsifantasiesr00hofs', 'mindsifantasiesr0000hofs_y8m2', 'mindsifantasies00hofs', 'mindsifantasiesr1982hofs', 'mindsi00doug']","['americana', 'americanuniversity-ol', 'belmont-ol', 'binghamton-ol', 'cua-ol', 'dartmouthlibrary-ol', 'gwulibraries-ol', 'internetarchivebooks', 'ithacacollege-ol', 'johnshopkins-ol', 'occidentalcollegelibrary-ol', 'openlibrary-d-ol', 'printdisabled', 'riceuniversity-ol', 'rochester-ol', 'schroederlibrary-ol', 'uhmauicollege-ol', 'unb-ol', 'uni-ol', 'universityofcoloradoboulder-ol', 'universityofoklahoma-ol', 'universityofthewest-ol', 'wilsoncollege-ol', 'wrlc-ol']",/works/OL716849W,"['eng', 'dut', 'ger']",False,The Mind's I,,,,,,Fantasies and Reflections on Self and Soul,,,,,fantasy
,,,,no_ebook,1,,False,,,/works/OL21428093M,,False,SF,,,,,,,,,,,fantasy
['OL22261A'],['Sandra Brown'],OL24373977M,6615906.0,borrowable,15,1987.0,True,"['fantacbrow00brow', 'fantac0000brow', 'fantac00brow', 'fantacbr00brow']","['americana', 'delawarecountydistrictlibrary', 'inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL167308W,"['eng', 'spa', 'rus']",False,Fanta C,OL24373977M,fantacbrow00brow,,,,,,,,,fantasy
['OL7387659A'],['Stephanie Garber'],OL26316828M,7990753.0,printdisabled,26,2000.0,True,['caraval0000garb'],"['internetarchivebooks', 'printdisabled']",/works/OL17715454W,"['dut', 'eng', 'pol', 'ger', 'fre']",False,Caraval,,,,,,,,,,,fantasy
"['OL217394A', 'OL237141A', 'OL28029A', 'OL1434553A', 'OL29219A', 'OL20678A', 'OL18722A', 'OL1394864A', 'OL1385589A', 'OL26165A', 'OL531502A', 'OL7507883A', 'OL382982A', 'OL2645009A', 'OL292141A', 'OL23207A', 'OL31384A', 'OL21554A', 'OL23704A', 'OL23918A', 'OL26576A', 'OL454225A', 'OL1437068A', 'OL11596305A']","['Jack Dann', 'Gardner R. Dozois', 'Cecelia Holland', 'Naomi Novik', 'Jonathan Stroud', 'Kage Baker', 'Jane Yolen', 'Adam Stemple', 'Liz Williams', 'Peter S. Beagle', 'Diana Gabaldon', 'Samuel Sykes', 'Garth Nix', 'Sean Williams', 'Tad Williams', 'Harry Turtledove', 'Diana Wynne Jones', 'Gregory Maguire', 'Bruce Coville', 'Tanith Lee', 'Tamora Pierce', 'Mary Rosenblum', 'Andy Duncan', 'Gardner Dozois Jack Dann']",OL24094481M,13248196.0,printdisabled,10,2009.0,True,"['dragonbookmagica0000unse', 'dragonbook0000unse_q7e7', 'dragonbook0000unse', 'dragonbookmagica00jack']","['internetarchivebooks', 'printdisabled']",/works/OL15190817W,['eng'],False,The Dragon Book,,,,,,,,,,,fantasy
['OL22176A'],['Mary Oliver'],OL3676133M,588262.0,borrowable,2,2003.0,True,['owlsotherfantasi0000oliv'],"['binghamton-ol', 'cnusd-ol', 'cua-ol', 'dartmouthlibrary-ol', 'gwulibraries-ol', 'inlibrary', 'internetarchivebooks', 'johnshopkins-ol', 'printdisabled', 'rochester-ol', 'universityofarizona-ol', 'universityofcoloradoboulder-ol']",/works/OL166448W,['eng'],False,Owls and Other Fantasies,OL3676133M,owlsotherfantasi0000oliv,,,,,,,,,fantasy
['OL2748993A'],['Gina Caimi'],OL10735472M,9555670.0,borrowable,1,1987.0,True,['forbiddenfantasi00gina'],"['inlibrary', 'internetarchivebooks', 'printdisabled']",/works/OL8262534W,['eng'],False,Forbidden Fantasies,OL10735472M,forbiddenfantasi00gina,,,,,,,,,fantasy
['OL7987634A'],['Raven Kennedy'],OL36098892M,13290449.0,no_ebook,4,2020.0,False,,,/works/OL25903620W,['eng'],False,Gild,,,,,,,,,,,fantasy
['OL2703408A'],['Elisabetta Dami'],OL25420125M,7245545.0,printdisabled,14,2010.0,True,['searchfortreasur0000stil'],"['internetarchivebooks', 'printdisabled']",/works/OL16798489W,"['spa', 'eng']",False,Sexto viaje al reino de la fantasía,,,['OL327627L'],['The Kingdom of Fantasy'],['6'],,,,,,fantasy
['OL40077A'],['Tim Powers'],,10098043.0,printdisabled,9,1983.0,True,['anubisgates0000powe'],"['internetarchivebooks', 'printdisabled']",/works/OL20801092W,['eng'],False,The Anubis Gates,,,,,,,,,,,fantasy
['OL1385853A'],['Gaelen Foley'],OL16717755M,5349929.0,printdisabled,3,2007.0,True,['hersecretfantasy00fole'],"['internetarchivebooks', 'printdisabled']",/works/OL5689038W,['eng'],False,Her Secret Fantasy,,,,,,The Spice Trilogy #2,,,,,fantasy
['OL9960890A'],['Elayna R. Gallea'],OL47320069M,13847066.0,no_ebook,2,2023.0,False,,,/works/OL34958538W,['eng'],False,Tethered,,,,,,,,,,,fantasy
